Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Sales_in_Millions,Genre_Code,First_Letter,global_sales_iva
Way of the Samurai 3,X360,2009.0,Action,Gamebridge,0.12,0.05,0.02,0.02,0.21,210000.0,0,W,0.24359999999999998
Deus Ex: The Conspiracy,PS2,2002.0,Action,Eidos Interactive,0.1,0.08,0.0,0.03,0.21,210000.0,0,D,0.24359999999999998
Unreal II: The Awakening,XB,2004.0,Shooter,Atari,0.17,0.04,0.0,0.01,0.21,210000.0,8,U,0.24359999999999998
Rumble Racing,PS2,2001.0,Racing,Electronic Arts,0.1,0.08,0.0,0.03,0.21,210000.0,6,R,0.24359999999999998
Spider-Man: Web of Shadows,PS2,2008.0,Action,Activision,0.1,0.08,0.0,0.03,0.21,210000.0,0,S,0.24359999999999998
Disgaea D2: A Brighter Darkness,PS3,2013.0,Role-Playing,Nippon Ichi Software,0.09,0.0,0.1,0.01,0.21,210000.0,7,D,0.24359999999999998
Batman Begins,XB,2005.0,Action,Electronic Arts,0.16,0.04,0.0,0.01,0.21,210000.0,0,B,0.24359999999999998
Just Dance: Greatest Hits,Wii,2012.0,Misc,Ubisoft,0.15,0.04,0.0,0.02,0.21,210000.0,3,J,0.24359999999999998
J-League Winning Eleven 10 + Europa League 06-07,PS2,2006.0,Sports,Konami Digital Entertainment,0.0,0.0,0.21,0.0,0.21,210000.0,10,J,0.24359999999999998
Shrek: Reekin' Havoc,GBA,2003.0,Platform,TDK Mediactive,0.15,0.06,0.0,0.0,0.21,210000.0,4,S,0.24359999999999998
Solatorobo: Red the Hunter,DS,2010.0,Role-Playing,Nintendo,0.08,0.04,0.07,0.01,0.21,210000.0,7,S,0.24359999999999998
Tales of Phantasia: Narikiri Dungeon X,PSP,2010.0,Role-Playing,Namco Bandai Games,0.0,0.0,0.21,0.0,0.21,210000.0,7,T,0.24359999999999998
JSRF: Jet Set Radio Future,XB,2002.0,Action,Sega,0.13,0.04,0.03,0.01,0.21,210000.0,0,J,0.24359999999999998
NHL Hitz 20-02,GC,2001.0,Sports,Midway Games,0.16,0.04,0.0,0.01,0.21,210000.0,10,N,0.24359999999999998
The Last Airbender,Wii,2010.0,Action,THQ,0.12,0.07,0.0,0.02,0.21,210000.0,0,T,0.24359999999999998
NCAA Football 2003,GC,2002.0,Sports,Electronic Arts,0.16,0.04,0.0,0.01,0.21,210000.0,10,N,0.24359999999999998
StokEd,X360,2009.0,Sports,Zushi Games,0.18,0.01,0.0,0.01,0.21,210000.0,10,S,0.24359999999999998
Rollcage,PS,1999.0,Racing,Psygnosis,0.12,0.08,0.0,0.01,0.21,210000.0,6,R,0.24359999999999998
ESPN Winter X Games: Snowboarding 2002,PS2,2000.0,Sports,Konami Digital Entertainment,0.1,0.08,0.0,0.03,0.21,210000.0,10,E,0.24359999999999998
Project: Snowblind,PS2,2005.0,Action,Eidos Interactive,0.1,0.08,0.0,0.03,0.21,210000.0,0,P,0.24359999999999998
Tony Hawk's Motion,DS,2008.0,Sports,Activision,0.19,0.0,0.0,0.02,0.21,210000.0,10,T,0.24359999999999998
Super Robot Taisen K,DS,2009.0,Strategy,Namco Bandai Games,0.0,0.0,0.21,0.0,0.21,210000.0,11,S,0.24359999999999998
Mortal Kombat: Special Forces,PS,2000.0,Fighting,Midway Games,0.12,0.08,0.0,0.01,0.21,210000.0,2,M,0.24359999999999998
LEGO The Hobbit,PSV,2014.0,Action,Warner Bros. Interactive Entertainment,0.03,0.13,0.0,0.05,0.21,210000.0,0,L,0.24359999999999998
Rayman Legends,PSV,2014.0,Platform,Ubisoft,0.03,0.12,0.0,0.05,0.21,210000.0,4,R,0.24359999999999998
Dragon Ball Z: Harukanaru Densetsu,DS,2007.0,Role-Playing,Namco Bandai Games,0.19,0.0,0.0,0.02,0.21,210000.0,7,D,0.24359999999999998
Wacky Races: Crash & Dash,DS,2008.0,Racing,Eidos Interactive,0.19,0.0,0.0,0.01,0.21,210000.0,6,W,0.24359999999999998
I Spy: Castle,DS,2011.0,Puzzle,Scholastic Inc.,0.19,0.0,0.0,0.01,0.21,210000.0,5,I,0.24359999999999998
Shin Megami Tensei: Persona 3 (jp sales),PS2,2006.0,Role-Playing,Tecmo Koei,0.0,0.0,0.21,0.0,0.21,210000.0,7,S,0.24359999999999998
Greg Hastings Paintball 2,X360,2010.0,Shooter,Majesco Entertainment,0.19,0.0,0.0,0.01,0.21,210000.0,8,G,0.24359999999999998
Evil Dead: Regeneration,PS2,2005.0,Action,THQ,0.1,0.08,0.0,0.03,0.21,210000.0,0,E,0.24359999999999998
Dead to Rights: Retribution,X360,2010.0,Shooter,Namco Bandai Games,0.11,0.08,0.0,0.02,0.21,210000.0,8,D,0.24359999999999998
NCAA March Madness 07,X360,2007.0,Sports,Electronic Arts,0.19,0.0,0.0,0.02,0.21,210000.0,10,N,0.24359999999999998
NHL 2003,XB,2002.0,Sports,Electronic Arts,0.15,0.04,0.0,0.01,0.21,210000.0,10,N,0.24359999999999998
Marvel Super Hero Squad: Comic Combat,PS3,2011.0,Action,THQ,0.11,0.07,0.0,0.03,0.21,210000.0,0,M,0.24359999999999998
X-Men: Children of the Atom,SAT,1995.0,Fighting,Acclaim Entertainment,0.0,0.0,0.21,0.0,0.21,210000.0,2,X,0.24359999999999998
Barbie Fashion Show: An Eye for Style,DS,2008.0,Misc,Activision,0.19,0.0,0.0,0.02,0.21,210000.0,3,B,0.24359999999999998
Tiger Woods PGA Tour,PSP,2005.0,Sports,Electronic Arts,0.19,0.0,0.0,0.02,0.21,210000.0,10,T,0.24359999999999998
Yarudora Series Vol. 2: Kisetsu wo Dakishimete,PS,1998.0,Adventure,Sony Computer Entertainment,0.0,0.0,0.19,0.01,0.21,210000.0,1,Y,0.24359999999999998
NHL 2K3,PS2,2002.0,Sports,Sega,0.1,0.08,0.0,0.03,0.21,210000.0,10,N,0.24359999999999998
Heisei Kyouiku linkai DS,DS,2006.0,Misc,Namco Bandai Games,0.0,0.0,0.21,0.0,0.21,210000.0,3,H,0.24359999999999998
SpongeBob SquarePants: Game Boy Advance Video Volume 3,GBA,2004.0,Misc,Desconocido,0.15,0.05,0.0,0.0,0.21,210000.0,3,S,0.24359999999999998
Pro Yaky? Spirits 2010,PS3,2010.0,Sports,Konami Digital Entertainment,0.0,0.0,0.21,0.0,0.21,210000.0,10,P,0.24359999999999998
The Naked Brothers Band: The Video Game,Wii,2008.0,Misc,THQ,0.19,0.0,0.0,0.01,0.21,210000.0,3,T,0.24359999999999998
Final Fight One,GBA,2001.0,Fighting,Ubisoft,0.09,0.03,0.08,0.0,0.21,210000.0,2,F,0.24359999999999998
Rune Factory: Tides of Destiny,Wii,2011.0,Role-Playing,Marvelous Interactive,0.14,0.0,0.06,0.01,0.21,210000.0,7,R,0.24359999999999998
The Amazing Spider-Man (Console Version),DS,2012.0,Action,Activision,0.15,0.04,0.0,0.01,0.21,210000.0,0,T,0.24359999999999998
NCAA Football 10,PSP,2009.0,Sports,Electronic Arts,0.19,0.0,0.0,0.02,0.21,210000.0,10,N,0.24359999999999998
Gallop Racer 2003: A New Breed,PS2,2002.0,Sports,Zoo Digital Publishing,0.04,0.03,0.12,0.01,0.21,210000.0,10,G,0.24359999999999998
Dawn of Discovery,Wii,2009.0,Simulation,Ubisoft,0.13,0.06,0.0,0.02,0.21,210000.0,9,D,0.24359999999999998
BeyBlade VForce: Super Tournament Battle,GC,2002.0,Action,Atari,0.16,0.04,0.0,0.01,0.21,210000.0,0,B,0.24359999999999998
Outlaw Golf 2,XB,2004.0,Sports,Global Star,0.15,0.04,0.0,0.01,0.21,210000.0,10,O,0.24359999999999998
Little Battlers eXperience: Baku Boost,3DS,2012.0,Action,Nintendo,0.0,0.0,0.21,0.0,0.21,210000.0,0,L,0.24359999999999998
Anarchy Reigns,PS3,2012.0,Action,Sega,0.1,0.03,0.06,0.02,0.21,210000.0,0,A,0.24359999999999998
CSI: Deadly Intent,X360,2009.0,Adventure,Ubisoft,0.1,0.08,0.0,0.02,0.21,210000.0,1,C,0.24359999999999998
Defiance,PC,2013.0,Shooter,Trion Worlds,0.14,0.04,0.0,0.02,0.21,210000.0,8,D,0.24359999999999998
J-League Pro Soccer Club o Tsukurou! 7 Euro Plus,PSP,2011.0,Sports,Sega,0.0,0.0,0.21,0.0,0.21,210000.0,10,J,0.24359999999999998
LEGO Ninjago: Shadow of Ronin,3DS,2015.0,Action,Warner Bros. Interactive Entertainment,0.05,0.1,0.04,0.01,0.21,210000.0,0,L,0.24359999999999998
Bugs Bunny & Taz: Time Busters,PS,2000.0,Adventure,Infogrames,0.11,0.08,0.0,0.01,0.21,210000.0,1,B,0.24359999999999998
Need for Speed Carbon: Own the City,DS,2006.0,Racing,Electronic Arts,0.17,0.02,0.0,0.02,0.21,210000.0,6,N,0.24359999999999998
Dragon Ball Z: Sagas,GC,2005.0,Fighting,Atari,0.16,0.04,0.0,0.01,0.21,210000.0,2,D,0.24359999999999998
Kung Fu Rider,PS3,2010.0,Action,Sony Computer Entertainment,0.06,0.1,0.01,0.04,0.21,210000.0,0,K,0.24359999999999998
Jikkyou Powerful Pro Yakyuu 2012,PS3,2012.0,Action,Konami Digital Entertainment,0.0,0.0,0.21,0.0,0.21,210000.0,0,J,0.24359999999999998
X2: Wolverine's Revenge,XB,2003.0,Platform,Activision,0.15,0.04,0.0,0.01,0.21,210000.0,4,X,0.24359999999999998
Power Rangers: Wild Force,GBA,2002.0,Action,THQ,0.15,0.05,0.0,0.0,0.21,210000.0,0,P,0.24359999999999998
The Wolf Among Us,PS4,2014.0,Adventure,Telltale Games,0.1,0.07,0.0,0.03,0.21,210000.0,1,T,0.24359999999999998
Thrillville,PSP,2006.0,Strategy,Atari,0.18,0.0,0.0,0.02,0.2,200000.0,11,T,0.232
Battle of Giants: Dinosaurs Strike,Wii,2010.0,Strategy,Ubisoft,0.15,0.04,0.0,0.02,0.2,200000.0,11,B,0.232
Attack on Titan (KOEI),PS4,2016.0,Action,Tecmo Koei,0.02,0.06,0.11,0.02,0.2,200000.0,0,A,0.232
The King of Fighters '95,NG,1995.0,Fighting,SNK,0.0,0.0,0.2,0.0,0.2,200000.0,2,T,0.232
Discovery Kids: Pony Paradise,DS,2009.0,Simulation,505 Games,0.19,0.0,0.0,0.01,0.2,200000.0,9,D,0.232
Mary-Kate and Ashley: Girls Night Out,GBA,2002.0,Misc,Acclaim Entertainment,0.15,0.05,0.0,0.0,0.2,200000.0,3,M,0.232
Cabela's North American Adventures,Wii,2010.0,Sports,Activision,0.19,0.0,0.0,0.01,0.2,200000.0,10,C,0.232
Enchanted Arms,PS3,2007.0,Role-Playing,Ubisoft,0.17,0.01,0.0,0.02,0.2,200000.0,7,E,0.232
Beyblade G-Revolution,GBA,2004.0,Action,Atari,0.15,0.05,0.0,0.0,0.2,200000.0,0,B,0.232
WWE All Stars,Wii,2011.0,Fighting,THQ,0.11,0.07,0.0,0.02,0.2,200000.0,2,W,0.232
Trade & Battle: Card Hero,GB,2000.0,Strategy,Nintendo,0.0,0.0,0.2,0.0,0.2,200000.0,11,T,0.232
World Championship Cards,PSP,2008.0,Misc,Crave Entertainment,0.19,0.0,0.0,0.02,0.2,200000.0,3,W,0.232
You Don't Know Jack,X360,2011.0,Misc,THQ,0.19,0.0,0.0,0.01,0.2,200000.0,3,Y,0.232
Chronicles of Mystery: Curse of the Ancient Temple,DS,2009.0,Adventure,City Interactive,0.07,0.11,0.0,0.02,0.2,200000.0,1,C,0.232
NBA Live 15,XOne,2014.0,Sports,Electronic Arts,0.17,0.02,0.0,0.02,0.2,200000.0,10,N,0.232
Capcom Fighting Evolution,PS2,2004.0,Fighting,Capcom,0.1,0.08,0.0,0.03,0.2,200000.0,2,C,0.232
Frogger 3D,3DS,2011.0,Action,Konami Digital Entertainment,0.16,0.03,0.0,0.01,0.2,200000.0,0,F,0.232
SD Gundam GNext,SNES,1995.0,Strategy,Namco Bandai Games,0.0,0.0,0.2,0.0,0.2,200000.0,11,S,0.232
Backyard NFL Football 2006,PS2,2005.0,Sports,Atari,0.1,0.08,0.0,0.03,0.2,200000.0,10,B,0.232
NASCAR Heat 2002,XB,2001.0,Racing,Infogrames,0.15,0.04,0.0,0.01,0.2,200000.0,6,N,0.232
Planet 51,Wii,2009.0,Action,Sega,0.17,0.02,0.0,0.02,0.2,200000.0,0,P,0.232
Sloane to MacHale no Nazo no Monogatari,DS,2009.0,Puzzle,Level 5,0.0,0.0,0.2,0.0,0.2,200000.0,5,S,0.232
DarkStar One: Broken Alliance,X360,2010.0,Simulation,Kalypso Media,0.11,0.08,0.0,0.02,0.2,200000.0,9,D,0.232
My Fitness Coach 2: Exercise and Nutrition,Wii,2009.0,Sports,Black Bean Games,0.14,0.04,0.0,0.02,0.2,200000.0,10,M,0.232
Sengoku Basara 2 Heroes,PS2,2007.0,Action,Capcom,0.0,0.0,0.2,0.0,0.2,200000.0,0,S,0.232
Buzz! The Schools Quiz,PS2,2008.0,Misc,Sony Computer Entertainment,0.0,0.02,0.0,0.19,0.2,200000.0,3,B,0.232
Two Worlds II,PC,2011.0,Role-Playing,Unknown,0.09,0.09,0.0,0.03,0.2,200000.0,7,T,0.232
Suikoden Tactics,PS2,2005.0,Strategy,Konami Digital Entertainment,0.06,0.05,0.07,0.02,0.2,200000.0,11,S,0.232
NCAA March Madness 06,XB,2005.0,Sports,Electronic Arts,0.15,0.04,0.0,0.01,0.2,200000.0,10,N,0.232
Major League Baseball 2K11,PS3,2011.0,Sports,Take-Two Interactive,0.15,0.03,0.0,0.02,0.2,200000.0,10,M,0.232
Mobile Suit Gundam: Crossfire,PS3,2006.0,Simulation,Namco Bandai Games,0.06,0.0,0.14,0.01,0.2,200000.0,9,M,0.232
Phantasy Star Online,DC,2000.0,Role-Playing,Sega,0.0,0.0,0.2,0.0,0.2,200000.0,7,P,0.232
Crazy Taxi 3: High Roller,XB,2002.0,Racing,Sega,0.14,0.04,0.02,0.01,0.2,200000.0,6,C,0.232
Dark Messiah of Might and Magic Elements,X360,2008.0,Role-Playing,Ubisoft,0.16,0.02,0.01,0.02,0.2,200000.0,7,D,0.232
Just Dance 2: Extra Songs,Wii,2011.0,Misc,Ubisoft,0.0,0.17,0.0,0.03,0.2,200000.0,3,J,0.232
Midnight Club 3: DUB Edition Remix,XB,2006.0,Racing,Take-Two Interactive,0.15,0.04,0.0,0.01,0.2,200000.0,6,M,0.232
International Superstar Soccer 2000,PS2,2000.0,Sports,Konami Digital Entertainment,0.0,0.0,0.2,0.0,0.2,200000.0,10,I,0.232
"Warhammer 40,000: Space Marine",PC,2011.0,Shooter,THQ,0.09,0.09,0.0,0.03,0.2,200000.0,8,W,0.232
CandyLand / Chutes & Ladders / Memory,GBA,2005.0,Misc,Zoo Digital Publishing,0.15,0.05,0.0,0.0,0.2,200000.0,3,C,0.232
The Bible Game,PS2,2005.0,Misc,Crave Entertainment,0.1,0.08,0.0,0.03,0.2,200000.0,3,T,0.232
Drift King Shutokou Battle '94,SNES,1994.0,Racing,BPS,0.0,0.0,0.2,0.0,0.2,200000.0,6,D,0.232
Shining Blade,PSP,2012.0,Role-Playing,Sega,0.0,0.0,0.2,0.0,0.2,200000.0,7,S,0.232
Fairy Fencer F,PS3,2013.0,Role-Playing,Nippon Ichi Software,0.05,0.05,0.09,0.02,0.2,200000.0,7,F,0.232
Atelier Shallie: Alchemists of the Dusk Sea,PS3,2014.0,Role-Playing,Tecmo Koei,0.06,0.05,0.08,0.02,0.2,200000.0,7,A,0.232
The Ultimate Red Ball Challenge,Wii,2009.0,Misc,Mindscape,0.0,0.19,0.0,0.01,0.2,200000.0,3,T,0.232
PBR: Out of the Chute,PS2,2008.0,Sports,Crave Entertainment,0.1,0.08,0.0,0.03,0.2,200000.0,10,P,0.232
The King of Fighters Collection: The Orochi Saga,PS2,2006.0,Fighting,Ignition Entertainment,0.1,0.08,0.0,0.03,0.2,200000.0,2,T,0.232
Jikkyou Powerful Pro Yakyuu 10 Chou Ketteiban: 2003 Memorial,PS2,2003.0,Sports,Konami Digital Entertainment,0.0,0.0,0.2,0.0,0.2,200000.0,10,J,0.232
Arcana Heart 3,PS3,2011.0,Fighting,PQube,0.04,0.05,0.1,0.02,0.2,200000.0,2,A,0.232
Tekken 3D: Prime Edition,3DS,2012.0,Fighting,Nintendo,0.06,0.08,0.05,0.01,0.2,200000.0,2,T,0.232
Deal or No Deal: The Banker is Back!,DS,2008.0,Misc,Mindscape,0.0,0.2,0.0,0.0,0.2,200000.0,3,D,0.232
Jillian Michaels' Fitness Adventure,X360,2011.0,Misc,505 Games,0.17,0.02,0.0,0.01,0.2,200000.0,3,J,0.232
MLB 10: The Show,PSP,2010.0,Sports,Sony Computer Entertainment,0.19,0.0,0.0,0.02,0.2,200000.0,10,M,0.232
State of Decay,XOne,2015.0,Strategy,Microsoft Game Studios,0.14,0.05,0.0,0.02,0.2,200000.0,11,S,0.232
Ashes Cricket 2009,X360,2009.0,Sports,Codemasters,0.0,0.19,0.0,0.01,0.2,200000.0,10,A,0.232
Saturday Night Speedway,PS2,2004.0,Racing,Play It,0.1,0.08,0.0,0.03,0.2,200000.0,6,S,0.232
Bratz: Rock Angelz,GC,2005.0,Misc,THQ,0.16,0.04,0.0,0.01,0.2,200000.0,3,B,0.232
Langrisser III,SAT,1996.0,Strategy,NCS,0.0,0.0,0.2,0.0,0.2,200000.0,11,L,0.232
Samurai Spirits (CD),NG,1994.0,Fighting,SNK,0.0,0.0,0.2,0.0,0.2,200000.0,2,S,0.232
MLB SlugFest 20-03,XB,2002.0,Sports,Midway Games,0.15,0.04,0.0,0.01,0.2,200000.0,10,M,0.232
Dragon Ball: Revenge of King Piccolo,Wii,2009.0,Action,Namco Bandai Games,0.13,0.03,0.03,0.02,0.2,200000.0,0,D,0.232
Spectrobes: Origins,Wii,2009.0,Role-Playing,Disney Interactive Studios,0.16,0.02,0.0,0.02,0.2,200000.0,7,S,0.232
Earth Defense Force: Insect Armageddon,PS3,2011.0,Shooter,D3Publisher,0.06,0.04,0.08,0.02,0.2,200000.0,8,E,0.232
Pitfall: The Lost Expedition,PS2,2004.0,Platform,Activision,0.1,0.08,0.0,0.03,0.2,200000.0,4,P,0.232
Marvel: Ultimate Alliance 2,DS,2009.0,Role-Playing,Activision,0.16,0.03,0.0,0.02,0.2,200000.0,7,M,0.232
From TV Animation One Piece: Grand Battle! 3,GC,2003.0,Fighting,Namco Bandai Games,0.0,0.0,0.2,0.01,0.2,200000.0,2,F,0.232
Assassin's Creed Syndicate,PC,2015.0,Action,Ubisoft,0.1,0.08,0.0,0.02,0.2,200000.0,0,A,0.232
Rocket Power: Zero Gravity Zone,GBA,2003.0,Sports,THQ,0.14,0.05,0.0,0.0,0.2,200000.0,10,R,0.232
Le Mans 24 Hours,PS2,2001.0,Racing,Infogrames,0.09,0.07,0.02,0.02,0.2,200000.0,6,L,0.232
XCOM 2,PC,2016.0,Strategy,Take-Two Interactive,0.09,0.1,0.0,0.02,0.2,200000.0,11,X,0.232
International Cricket 2010,PS3,2010.0,Sports,Codemasters,0.0,0.15,0.0,0.05,0.2,200000.0,10,I,0.232
ESPN MLB Baseball,PS2,2004.0,Sports,Sega,0.1,0.08,0.0,0.03,0.2,200000.0,10,E,0.232
Neighborhood Games,Wii,2009.0,Misc,THQ,0.17,0.02,0.0,0.01,0.2,200000.0,3,N,0.232
All Star Pro-Wrestling,PS2,2000.0,Fighting,SquareSoft,0.0,0.0,0.2,0.0,0.2,200000.0,2,A,0.232
Way of the Samurai 4,PS3,2011.0,Action,Nippon Ichi Software,0.0,0.03,0.16,0.01,0.2,200000.0,0,W,0.232
Clive Barker's Jericho,PS3,2007.0,Shooter,Codemasters,0.17,0.01,0.0,0.02,0.2,200000.0,8,C,0.232
Harvest Moon: More Friends of Mineral Town,GBA,2003.0,Simulation,Ubisoft,0.14,0.05,0.0,0.0,0.2,200000.0,9,H,0.232
Captain America: Super Soldier,PS3,2011.0,Action,Sega,0.1,0.07,0.0,0.03,0.2,200000.0,0,C,0.232
MLB 12: The Show,PSV,2012.0,Sports,Sony Computer Entertainment,0.18,0.0,0.0,0.02,0.2,200000.0,10,M,0.232
The Fairly Odd Parents: Shadow Showdown,GC,2004.0,Platform,THQ,0.16,0.04,0.0,0.01,0.2,200000.0,4,T,0.232
NHL 17,PS4,2016.0,Sports,Electronic Arts,0.13,0.04,0.0,0.04,0.2,200000.0,10,N,0.232
Mobile Suit Gundam Side Story II: Aoi o Uketsugu Mono,SAT,1996.0,Shooter,Namco Bandai Games,0.0,0.0,0.2,0.0,0.2,200000.0,8,M,0.232
Camping Mama: Outdoor Adventures,DS,2011.0,Simulation,505 Games,0.13,0.06,0.0,0.02,0.2,200000.0,9,C,0.232
Kurohyou 2: Ryu ga Gotoku Ashura Hen,PSP,2012.0,Action,Sega,0.0,0.0,0.2,0.0,0.2,200000.0,0,K,0.232
NBA 2K2,XB,2002.0,Sports,Sega,0.15,0.04,0.0,0.01,0.2,200000.0,10,N,0.232
X2: Wolverine's Revenge,GBA,2003.0,Platform,Activision,0.14,0.05,0.0,0.0,0.2,200000.0,4,X,0.232
7th Dragon 2020,PSP,2011.0,Role-Playing,Sega,0.0,0.0,0.2,0.0,0.2,200000.0,7,7,0.232
Cars,XB,2006.0,Racing,THQ,0.15,0.04,0.0,0.01,0.2,200000.0,6,C,0.232
Taiko no Tatsujin: Waku Waku Anime Matsuri,PS2,2003.0,Misc,Namco Bandai Games,0.0,0.0,0.2,0.0,0.2,200000.0,3,T,0.232
Imagine: Babyz Fashion,DS,2009.0,Simulation,Ubisoft,0.19,0.0,0.0,0.01,0.2,200000.0,9,I,0.232
Spy Hunter,GC,2002.0,Racing,Midway Games,0.16,0.04,0.0,0.01,0.2,200000.0,6,S,0.232
Warriors Orochi,PSP,2008.0,Action,Tecmo Koei,0.02,0.0,0.18,0.0,0.2,200000.0,0,W,0.232
Dead to Rights II,PS2,2005.0,Shooter,Electronic Arts,0.1,0.08,0.0,0.03,0.2,200000.0,8,D,0.232
Super Dodge Ball Advance,GBA,2001.0,Sports,Ubisoft,0.14,0.05,0.0,0.0,0.2,200000.0,10,S,0.232
Ogre Battle Saga Episode Five: The March of the Black Queen,PS,1996.0,Role-Playing,ArtDink,0.06,0.04,0.09,0.01,0.2,200000.0,7,O,0.232
Ridge Racer 6,X360,2005.0,Racing,Namco Bandai Games,0.1,0.02,0.07,0.01,0.2,200000.0,6,R,0.232
Angry Birds Star Wars,PS4,2013.0,Strategy,Activision,0.1,0.08,0.0,0.03,0.2,200000.0,11,A,0.232
"Ni Hao, Kai-lan: New Year's Celebration",DS,2009.0,Misc,Take-Two Interactive,0.19,0.0,0.0,0.01,0.2,200000.0,3,N,0.232
Press Your Luck 2010 Edition,DS,2009.0,Misc,Ubisoft,0.19,0.0,0.0,0.01,0.2,200000.0,3,P,0.232
Treasure World,DS,2009.0,Simulation,Aspyr,0.19,0.0,0.0,0.01,0.2,200000.0,9,T,0.232
Front Mission Evolved,X360,2010.0,Shooter,Square Enix,0.1,0.07,0.02,0.02,0.2,200000.0,8,F,0.232
Body and Brain Connection,X360,2010.0,Misc,Namco Bandai Games,0.1,0.08,0.0,0.02,0.2,200000.0,3,B,0.232
MDK,PS,1997.0,Shooter,Interplay,0.11,0.08,0.0,0.01,0.2,200000.0,8,M,0.232
Monster Jam,X360,2007.0,Racing,Activision,0.18,0.0,0.0,0.02,0.2,200000.0,6,M,0.232
Afro Samurai,PS3,2009.0,Action,Atari,0.12,0.05,0.0,0.03,0.2,200000.0,0,A,0.232
Rock Band Track Pack: Classic Rock,PS2,2009.0,Misc,MTV Games,0.1,0.08,0.0,0.03,0.2,200000.0,3,R,0.232
Zone of the Enders HD Collection,X360,2012.0,Simulation,Konami Digital Entertainment,0.14,0.04,0.01,0.02,0.2,200000.0,9,Z,0.232
Ty the Tasmanian Tiger 2: Bush Rescue,GC,2004.0,Platform,Electronic Arts,0.15,0.04,0.0,0.01,0.2,200000.0,4,T,0.232
Speed Punks,PS,1998.0,Racing,Sony Computer Entertainment,0.11,0.08,0.0,0.01,0.2,200000.0,6,S,0.232
The Legend of Heroes VII: The Trail of Blue,PSP,2011.0,Role-Playing,Falcom Corporation,0.0,0.0,0.2,0.0,0.2,200000.0,7,T,0.232
No More Heroes: Heroes' Paradise,PS3,2010.0,Action,Konami Digital Entertainment,0.1,0.04,0.04,0.02,0.2,200000.0,0,N,0.232
Mahjongg Mysteries: Ancient Egypt,DS,2010.0,Puzzle,Avanquest,0.07,0.11,0.0,0.02,0.2,200000.0,5,M,0.232
Saints Row IV,XOne,2015.0,Action,Deep Silver,0.1,0.09,0.0,0.02,0.2,200000.0,0,S,0.232
Injustice: Gods Among Us,WiiU,2013.0,Fighting,Warner Bros. Interactive Entertainment,0.1,0.08,0.0,0.02,0.2,200000.0,2,I,0.232
MVP Baseball 2003,XB,2003.0,Sports,Electronic Arts,0.15,0.04,0.0,0.01,0.2,200000.0,10,M,0.232
CSI: Unsolved!,DS,2010.0,Adventure,Ubisoft,0.13,0.06,0.0,0.02,0.2,200000.0,1,C,0.232
Star Wars: Battlefront,PC,2004.0,Shooter,LucasArts,0.06,0.12,0.0,0.02,0.2,200000.0,8,S,0.232
NCAA Final Four 2004,PS2,2003.0,Sports,Sony Computer Entertainment,0.1,0.08,0.0,0.03,0.2,200000.0,10,N,0.232
"The Chronicles of Narnia: The Lion, The Witch and The Wardrobe",XB,2005.0,Action,Disney Interactive Studios,0.15,0.04,0.0,0.01,0.2,200000.0,0,T,0.232
Tigger's Honey Hunt,N64,2000.0,Platform,Ubisoft,0.16,0.04,0.0,0.0,0.2,200000.0,4,T,0.232
Famista 64,N64,0.0,Sports,Namco Bandai Games,0.0,0.0,0.17,0.03,0.2,200000.0,10,F,0.232
Roadsters 99,N64,1999.0,Racing,Titus,0.06,0.13,0.0,0.01,0.2,200000.0,6,R,0.232
Magical Tetris Challenge,N64,1997.0,Puzzle,Activision,0.13,0.02,0.05,0.0,0.2,200000.0,5,M,0.232
Twisted Edge Extreme Snowboarding,N64,1998.0,Sports,Kemco,0.16,0.04,0.0,0.0,0.2,200000.0,10,T,0.232
Disney's Tarzan,N64,2000.0,Platform,Activision,0.16,0.04,0.0,0.0,0.2,200000.0,4,D,0.232
South Park Rally,N64,2000.0,Racing,Acclaim Entertainment,0.16,0.04,0.0,0.0,0.2,200000.0,6,S,0.232
Body Harvest,N64,1998.0,Shooter,Gremlin Interactive Ltd,0.16,0.04,0.0,0.0,0.2,200000.0,8,B,0.232
San Francisco Rush 2049,N64,2000.0,Racing,Midway Games,0.16,0.04,0.0,0.0,0.2,200000.0,6,S,0.232
Super Robot Taisen 64,N64,1999.0,Strategy,Banpresto,0.0,0.0,0.2,0.0,0.2,200000.0,11,S,0.232
Snowboard Kids,N64,1996.0,Sports,Atlus,0.16,0.04,0.0,0.0,0.2,200000.0,10,S,0.232
NBA 07,PSP,2006.0,Sports,Sony Computer Entertainment,0.18,0.0,0.0,0.02,0.2,200000.0,10,N,0.232
IHRA Drag Racing 2004,XB,2003.0,Racing,Bethesda Softworks,0.15,0.04,0.0,0.01,0.2,200000.0,6,I,0.232
Shining Hearts,PSP,2010.0,Role-Playing,Sega,0.0,0.0,0.2,0.0,0.2,200000.0,7,S,0.232
Magical ZhuZhu Princess: Carriages & Castles,DS,2011.0,Simulation,Activision,0.14,0.04,0.0,0.02,0.2,200000.0,9,M,0.232
Code of Princess,3DS,2012.0,Action,Agatsuma Entertainment,0.16,0.0,0.03,0.01,0.2,200000.0,0,C,0.232
Tomb Raider: Underworld,DS,2008.0,Action,Eidos Interactive,0.16,0.03,0.0,0.02,0.2,200000.0,0,T,0.232
